"CURRENT_REFMET_NAME","refmet_name","metabolite_name","is_standard","assay","super_class","main_class","sub_class","formula","exactmass","pubchem_cid","kegg_id","inchi_key","lm_id","hmdb_id","chebi_id"
"3-Hydroxybenzoic acid","3-Hydroxybenzoic acid","m-hydroxybenzoate",0,"metab-u-rpneg","Benzenoids","Benzoic acids","Benzoic acids","C7H6O3",138.031695,7420,"C00587","IJFXRHURBJZNAO-UHFFFAOYSA-N",NA,"HMDB0002466",30764
"3-Hydroxybutyric acid","3-Hydroxybutyric acid","3-hydroxybutyrate",0,"metab-u-rpneg","Organic acids","Hydroxy acids","Beta hydroxy acids","C4H8O3",104.047345,441,"C01089","WHBMMWSBFZVSSR-UHFFFAOYSA-N","LMFA01050005","HMDB0000357",20067
"3-Hydroxyphenyl valeric acid","3-Hydroxyphenyl valeric acid","3-hydroxyphenyl-valerate",0,"metab-u-rppos","Fatty Acyls","Fatty acids","Hydroxy FA","C11H14O3",194.094295,10559720,NA,"CMLIEOOXQFWANJ-UHFFFAOYSA-N",NA,"HMDB0041666",NA
"3-Hydroxypropanoyl-CoA","3-Hydroxypropanoyl-CoA","CoA(3:0, 3-OH)",0,"targeted","Fatty Acyls","Fatty esters","Acyl CoAs","C24H40N7O18P3S",839.136349,11966171,"C05668","BERBFZCUSMQABM-IEXPHMLFSA-N","LMFA07050226",NA,27762
"3-Indolepropionic acid","3-Indolepropionic acid","3-indolepropionate",0,"metab-u-rppos","Organoheterocyclic compounds","Indolyl carboxylic acids","Indolyl carboxylic acids","C11H11NO2",189.078979,3744,NA,"GOLXRNDWAUTYKT-UHFFFAOYSA-N",NA,"HMDB0002302",NA
"3-Methoxytyramine","3-Methoxytyramine","3-methoxytyramine",0,"metab-u-hilicpos","Benzenoids","Phenols","Methoxyphenols","C9H13NO2",167.094629,1669,"C05587","DIVQKHQLANKJQO-UHFFFAOYSA-N",NA,"HMDB0000022",742324
"3-Methoxytyrosine","3-Methoxytyrosine","3-methoxytyrosine",0,"metab-u-rppos","Polyketides","Phenylpropanoids","Phenylpropanoic acids","C10H13NO4",211.084459,9307,NA,"PFDUUKDQEHURQC-ZETCQYMHSA-N",NA,"HMDB0060747",NA
"3-Methyl-2-oxovaleric acid","3-Methyl-2-oxovaleric acid","3-methyl-2-oxovalerate",0,"metab-u-rpneg","Organic acids","Keto acids","Short-chain keto acids","C6H10O7",134.063,47,"C06008","JVQYSWDUAOAHFM-UHFFFAOYSA-N",NA,NA,NA
"3-Methyl-2-oxovaleric acid","3-Methyl-2-oxovaleric acid","3-methyl-2-oxovalerate",0,"metab-u-rpneg","Organic acids","Keto acids","Short-chain keto acids","C6H10O6",133.063,47,"C06008","JVQYSWDUAOAHFM-UHFFFAOYSA-N",NA,NA,NA
"3-Methyl-2-oxovaleric acid","3-Methyl-2-oxovaleric acid","3-methyl-2-oxovalerate",0,"metab-u-rpneg","Organic acids","Keto acids","Short-chain keto acids","C6H10O4",131.063,47,"C06008","JVQYSWDUAOAHFM-UHFFFAOYSA-N",NA,NA,NA
"3-Methyl-2-oxovaleric acid","3-Methyl-2-oxovaleric acid","3-methyl-2-oxovalerate",0,"metab-u-rpneg","Organic acids","Keto acids","Short-chain keto acids","C6H10O8",135.063,47,"C06008","JVQYSWDUAOAHFM-UHFFFAOYSA-N",NA,NA,NA
"3-Methyl-2-oxovaleric acid","3-Methyl-2-oxovaleric acid","3-methyl-2-oxovalerate",0,"metab-u-rpneg","Organic acids","Keto acids","Short-chain keto acids","C6H10O9",136.063,47,"C06008","JVQYSWDUAOAHFM-UHFFFAOYSA-N",NA,NA,NA
"3-Methyl-2-oxovaleric acid","3-Methyl-2-oxovaleric acid","3-methyl-2-oxovalerate",0,"metab-u-rpneg","Organic acids","Keto acids","Short-chain keto acids","C6H10O3",130.063,47,"C06008","JVQYSWDUAOAHFM-UHFFFAOYSA-N",NA,NA,NA
"3-Methyl-2-oxovaleric acid","3-Methyl-2-oxovaleric acid","3-methyl-2-oxovalerate",0,"metab-u-rpneg","Organic acids","Keto acids","Short-chain keto acids","C6H10O5",132.063,47,"C06008","JVQYSWDUAOAHFM-UHFFFAOYSA-N",NA,NA,NA
"3-Methylhistamine","3-Methylhistamine","3-methylhistamine",0,"metab-u-hilicpos","Organic nitrogen compounds","Amines","Aralkylamines","C6H11N3",125.095297,69520,NA,"CPAGZVLINCPJEH-UHFFFAOYSA-N",NA,"HMDB0001861",114444
"3-Methylhistidine","3-Methylhistidine","3-methylhistidine",0,"metab-u-hilicpos","Organic acids","Amino acids and peptides","Amino acids","C7H11N3O2",169.085127,64969,"C01152","JDHILDINMRGULE-LURJTMIESA-N",NA,"HMDB0000479",27596
"3-Methylxanthine","3-Methylxanthine","3-methylxanthine",0,"metab-u-rpneg","Nucleic acids","Purines","Xanthines","C6H6N4O2",166.049076,70639,"C16357","GMSNIKWWOQHZGF-UHFFFAOYSA-N",NA,"HMDB0001886",62207
"3-Phosphoglyceric acid","Phosphoglyceric acid","2-phosphoglycerate+3-phosphoglycerate",0,"metab-u-ionpneg","Organic acids","Short-chain acids","Short-chain acids","C3H7O7P",185.992943,439183,"C00197","OSJPPGNTCRNQQC-UWTATZPHSA-N",NA,"HMDB0060180",17794
"3',5' cyclic AMP","3',5' cyclic AMP","cAMP",0,"metab-u-hilicpos","Nucleic acids","Purines","Purine rNMP","C10H12N5O6P",329.052523,6076,"C00575","IVOMOUWHDPKRLL-KQYNXXCUSA-N",NA,"HMDB0000058",17489
"4-Acetamidobutanoic acid","4-Acetamidobutanoic acid","4-acetamidobutanoate",0,"metab-u-hilicpos","Organic acids","Amino acids and peptides","Amino acids","C6H11NO3",145.073894,18189,"C02946","UZTFMUBKZQVKLK-UHFFFAOYSA-N",NA,"HMDB0003681",17645
"4-Aminohippuric acid","4-Aminohippuric acid","4-aminohippurate",0,"metab-u-hilicpos","Benzenoids","Benzamides","Hippuric acids","C9H10N2O3",194.069143,2148,"D06890","HSMNQINEKMPTIC-UHFFFAOYSA-N",NA,"HMDB0001867",104011
"4-Guanidinobutanoic acid","4-Guanidinobutanoic acid","4-guanidinobutanoate",0,"metab-u-hilicpos","Organic acids","Amino acids and peptides","Amino acids","C5H11N3O2",145.085127,500,"C01035","TUHVEAJXIMEOSA-UHFFFAOYSA-N",NA,"HMDB0003464",15728
"4-Pyridoxic acid","4-Pyridoxic acid","4-pyridoxate",0,"metab-u-hilicpos","Organoheterocyclic compounds","Pyridines","Pyridinecarboxylic acids","C8H9NO4",183.053159,6723,"C00847","HXACOUQIXZGNBF-UHFFFAOYSA-N",NA,"HMDB0000017",17405
"5-Heneicosyl-1,3-benzenediol","5-Heneicosyl-1,3-benzenediol","5-henicosylbenzene-1,3-diol_feature1",0,"metab-u-lrppos","Polyketides","Phenolic lipids","Alkyl resorcinols","C27H48O2",404.36543,155461,NA,"BLHLKJLSYHEOGY-UHFFFAOYSA-N","LMPK15030005","HMDB0031035",1258594
"5-HETE","5-HETE","5-HETE",0,"metab-t-oxylipneg","Fatty Acyls","Eicosanoids","HETE","C20H32O3",320.235145,9862886,"C04805","KGIJOOYOSFUGPC-XTDASVJISA-N","LMFA03060084",NA,60943
"5-Hydroxy-tryptophan","5-Hydroxy-tryptophan","5-hydroxy-L-tryptophan",0,"metab-u-rppos","Organic acids","Amino acids and peptides","Amino acids","C11H12N2O3",220.084793,439280,"C00643","LDCYZAJDBXYCGN-VIFPVBQESA-N",NA,"HMDB0000472",17780
"5-Hydroxyindoleacetic acid","5-Hydroxyindoleacetic acid","hydroxyindole acetate",0,"metab-u-rpneg","Organoheterocyclic compounds","Indoles","Indole-3-acetic acid derivatives","C10H9NO3",191.058244,1826,"C05635","DUUGKQCEGZLZNO-UHFFFAOYSA-N",NA,"HMDB0000763",27823
"5-Hydroxylysine","5-Hydroxylysine","Hydroxylysine",0,"targeted","Organic acids","Amino acids and peptides","Amino acids","C6H14N2O3",162.100443,3032849,"C16741","YSMODUONRAFBET-UHNVWZDZSA-N",NA,"HMDB0000450",18040
"5-Hydroxytryptophol","5-Hydroxytryptophol","5-hydroxytryptophol",0,"metab-u-hilicpos","Organoheterocyclic compounds","Indoles","Indoles","C10H11NO2",177.078979,9061,NA,"KQROHCSYOGBQGJ-UHFFFAOYSA-N",NA,"HMDB0001855",NA
"5-Methylcytidine","5-Methylcytidine","5-methylcytidine",0,"metab-u-hilicpos","Nucleic acids","Pyrimidines","Pyrimidine ribonucleosides","C10H15N3O5",257.101172,92918,NA,"ZAYHVCMSTBRABG-JXOAFFINSA-N",NA,"HMDB0000982",20607
"5-Methylcytosine","5-Methylcytosine","5-methylcytosine",0,"metab-u-hilicpos","Nucleic acids","Pyrimidines","Pyrimidones","C5H7N3O",125.058912,65040,"C02376","LRSASMSXMSNRBT-UHFFFAOYSA-N",NA,"HMDB0002894",27551
"5,6-DiHETrE","5,6-DiHETrE","5,6-DiHETrE",0,"metab-t-oxylipneg","Fatty Acyls","Eicosanoids","HETrE","C20H34O4",338.24571,5283142,"C14772","GFNYAPAJUNPMGH-QNEBEIHSSA-N","LMFA03050004","HMDB0002343",63974
"5'-Methylthioadenosine","5'-Methylthioadenosine","5'-methylthioadenosine",0,"metab-u-rppos","Nucleic acids","Purines","Purine ribonucleosides","C11H15N5O3S",297.089562,439176,"C00170","WUUGFSXJNOTRMR-IOSLPCCCSA-N",NA,"HMDB0001173",17509
"5'-Methylthioadenosine","5'-Methylthioadenosine","methylthioadenosine",0,"metab-u-hilicpos","Nucleic acids","Purines","Purine ribonucleosides","C11H15N5O3S",297.089562,439176,"C00170","WUUGFSXJNOTRMR-IOSLPCCCSA-N",NA,"HMDB0001173",17509
"5alpha-Androstane-3alpha-ol-17-one sulfate","5alpha-Androstane-3alpha-ol-17-one sulfate","androsterone sulfate",0,"metab-u-rpneg","Sterol Lipids","Steroid conjugates","Sulfate conjugates","C19H30O5S",370.181397,159663,"C04555","ZMITXKRGXGRMKS-HLUDHZFRSA-N","LMST05020001","HMDB0002759",83037
"6-Phosphogluconic acid","6-Phosphogluconic acid","6-phosphogluconate",0,"metab-u-ionpneg","Carbohydrates","Monosaccharides","Monosaccharide phosphates","C6H13O10P",276.024638,91493,"C00345","BIRSGZKFKXLSJQ-SQOUGZDYSA-N",NA,"HMDB0001316",48928
"7-Aminomethyl-7-carbaguanine","7-Aminomethyl-7-carbaguanine","7-aminomethyl-7-carbaguanine",0,"metab-u-hilicpos","Organoheterocyclic compounds","Heterocyclic compounds","Pyrrolopyrimidines","C7H9N5O",179.08071,135398563,"C16675","MEYMBLGOKYDGLZ-UHFFFAOYSA-N",NA,"HMDB0011690",45126
"7-Methylguanine","7-Methylguanine","7-methylguanine",0,"metab-u-hilicpos","Nucleic acids","Purines","Hypoxanthines","C6H7N5O",165.06506,135398679,"C02242","FZWGECJQACGGTI-UHFFFAOYSA-N",NA,"HMDB0000897",28664
"8,9-DiHETrE","8,9-DiHETrE","8,9-DiHETrE",0,"metab-t-oxylipneg","Fatty Acyls","Eicosanoids","HETrE","C20H34O4",338.24571,5283144,"C14773","DCJBINATHQHPKO-TYAUOURKSA-N","LMFA03050006","HMDB0002311",63970
"8,9-EpETrE","8,9-EpETrE","8,9-EpETrE",0,"metab-t-oxylipneg","Fatty Acyls","Eicosanoids","EpETrE","C20H32O3",320.235145,5283203,"C14769","DBWQSCSXHFNTMO-TYAUOURKSA-N","LMFA03080003","HMDB0002232",34490
"9-HETE","9-HETE","9-HETE",0,"metab-t-oxylipneg","Fatty Acyls","Eicosanoids","HETE","C20H32O3",320.235145,14123398,NA,"KATOYYZUTNAWSA-OIZRIKEUSA-N","LMFA03060089",NA,72786
"9-HODE","9-HODE","9-HODE",0,"metab-t-oxylipneg","Fatty Acyls","Octadecanoids","HODEs","C18H32O3",296.235145,5282944,NA,"NPDSHTNEKLQQIJ-ZJHFMPGASA-N","LMFA02000151","HMDB0062652",68946
"9-HOTrE","9-HOTrE","9-HOTrE",0,"metab-t-oxylipneg","Fatty Acyls","Octadecanoids","HOTrEs","C18H30O3",294.219495,10447175,NA,"RIGGEAZDTKMXSI-CUHSZNQNSA-N",NA,NA,72625
"9,10-DiHOME","9,10-DiHOME","9,10-DiHOME",0,"metab-t-oxylipneg","Fatty Acyls","Octadecanoids","DiHOMEs","C18H34O4",314.24571,9966640,"C14828","XEBKSQSGNGRGDW-YFHOEESVSA-N","LMFA02000229","HMDB0004704",72663
"9S-HpODE","9S-HpODE","9S-HpODE",0,"metab-t-oxylipneg","Fatty Acyls","Octadecanoids","HpODEs","C18H32O4",312.23006,9548877,"C14827","JGUNZIWGNMQSBM-UINYOVNOSA-N","LMFA02000012","HMDB0062434",34498
"Acadesine","Acadesine","AICAR",0,"targeted","Nucleic acids","Imidazoles","1-ribosyl-imidazole carboxamides","C9H14N4O5",258.096421,17513,NA,"RTRQQBHATOEIAF-UUOKFMHZSA-N",NA,NA,NA
"Acetyl-CoA","Acetyl-CoA","CoA(2:0)",0,"metab-u-ionpneg","Fatty Acyls","Fatty esters","Acyl CoAs","C23H38N7O17P3S",809.125784,444493,"C00024","ZSLZBFCDCINBPY-ZSJPKINUSA-N","LMFA07050281","HMDB0001206",15351
"Acetylcholine","Acetylcholine","acetylcholine",0,"metab-u-hilicpos","Organic nitrogen compounds","Cholines","Cholines","C7H16NO2",146.118104,187,"C01996","OIPILFWXSMYKGL-UHFFFAOYSA-N",NA,"HMDB0000895",15355
"Acetylphosphate","Acetylphosphate","acetylphosphate",0,"metab-u-ionpneg","Organic acids","Organic phosphoric acids","Phosphate esters","C2H5O5P",139.987463,186,"C00227","LIPOUNRJVLNBCD-UHFFFAOYSA-N",NA,"HMDB0001494",15350
"Acisoga","Acisoga","acisoga",0,"metab-u-hilicpos","Organoheterocyclic compounds","N-alkylpyrrolidines","N-alkylpyrrolidines","C9H16N2O2",184.121178,129397,NA,"OAUYENAPBFTAQT-UHFFFAOYSA-N",NA,"HMDB0061384",133185
"Adenine","Adenine","adenine",0,"targeted","Nucleic acids","Purines","6-aminopurines","C5H5N5",135.054495,190,"C00147","GFFGJBXGBJISGV-UHFFFAOYSA-N",NA,"HMDB0000034",16708
"Adenosine","Adenosine","adenosine",0,"metab-u-hilicpos","Nucleic acids","Purines","Purine ribonucleosides","C10H13N5O4",267.096755,60961,"C00212","OIRDTQYFTABQOQ-KQYNXXCUSA-N",NA,"HMDB0000050",16335
"Adenosine","Adenosine","adenosine",0,"metab-u-ionpneg","Nucleic acids","Purines","Purine ribonucleosides","C10H13N5O4",267.096755,60961,"C00212","OIRDTQYFTABQOQ-KQYNXXCUSA-N",NA,"HMDB0000050",16335
"Adenosine","Adenosine","adenosine_feature1",0,"metab-u-lrppos","Nucleic acids","Purines","Purine ribonucleosides","C10H13N5O4",267.096755,60961,"C00212","OIRDTQYFTABQOQ-KQYNXXCUSA-N",NA,"HMDB0000050",16335
"Adenylsuccinic acid","Adenylsuccinic acid","S-AMP",0,"targeted","Nucleic acids","Purines","Purine rNMP","C14H18N5O11P",463.074043,440122,"C03794","OFBHPPMPBOJXRT-DPXQIYNJSA-N",NA,"HMDB0000536",15919
"Adipic acid","Adipic acid","adipate",0,"metab-u-rppos","Fatty Acyls","Fatty acids","Dicarboxylic acids","C6H10O4",146.05791,196,"C06104","WNLRTRBMVRJNCN-UHFFFAOYSA-N","LMFA01170048","HMDB0000448",30832
"ADP","ADP","ADP",0,"metab-u-ionpneg","Nucleic acids","Purines","Purine rNDP","C10H15N5O10P2",427.029421,6022,"C00008","XTWYTFMLZFPYCI-KQYNXXCUSA-N",NA,"HMDB0001341",16761
"ADP-ribose","ADP-ribose","ADP-ribose",0,"targeted","Nucleic acids","Purines","Purine rNDP","C15H23N5O14P2",559.071681,33576,"C00301","SRNWOUGRCWSEMX-TYASJMOZSA-N",NA,NA,16960
"Agmatine","Agmatine","agmatine",0,"metab-u-hilicpos","Organic nitrogen compounds","Guanidines","Guanidines","C5H14N4",130.121846,199,"C00179","QYPPJABKJHAVHS-UHFFFAOYSA-N",NA,"HMDB0001432",17431
"AICA ribonucleotide","AICA ribonucleotide","ZMP",0,"targeted","Nucleic acids","Imidazoles","Imidazole ribonucleosides and ribonucleotides","C9H15N4O8P",338.062754,65110,"C04677","NOTGFIUVDGNKRI-UUOKFMHZSA-N",NA,"HMDB0001517",18406
